                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76203,                 0.5012,                0.99007,                0.95579,                0.96557,                0.98872,                 0.8017,                0.74173,                0.46444,                 1.0007,              0.0010894,              0.0010894,              0.0010894
                     37,                0.76571,                0.49579,                0.99428,                0.97122,                0.94774,                0.98859,                0.78576,                0.75336,                0.44136,                0.99625,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.7454,                 0.4838,                0.98935,                0.98956,                0.95229,                0.98969,                0.79107,                0.72673,                0.44823,                0.96861,              0.0010564,              0.0010564,              0.0010564
                     39,                0.73807,                0.47932,                0.98293,                0.96271,                0.93974,                0.97766,                0.79572,                0.76229,                0.45049,                0.99386,              0.0010399,              0.0010399,              0.0010399
                     40,                0.72682,                0.47094,                0.97775,                0.97083,                 0.9399,                0.98207,                0.79098,                0.74502,                0.44617,                0.97737,              0.0010234,              0.0010234,              0.0010234
                     41,                0.73793,                0.48141,                0.97603,                0.98647,                0.94029,                0.98864,                0.79915,                0.74092,                0.42265,                0.98179,              0.0010069,              0.0010069,              0.0010069
                     42,                0.73288,                0.47754,                0.97545,                0.97807,                0.96226,                0.99022,                0.81104,                0.73134,                0.44177,                0.97733,             0.00099036,             0.00099036,             0.00099036
                     43,                0.72524,                0.46592,                0.97433,                0.98752,                0.95054,                0.98723,                  0.794,                0.73272,                0.43669,                0.97359,             0.00097386,             0.00097386,             0.00097386
                     44,                0.71467,                0.45902,                0.96988,                0.94761,                0.97592,                0.98726,                 0.8003,                0.72303,                0.43841,                 0.9704,             0.00095736,             0.00095736,             0.00095736
                     45,                0.70487,                0.44961,                0.96225,                0.93529,                0.97768,                0.98502,                0.79767,                0.70827,                0.43118,                0.95884,             0.00094085,             0.00094085,             0.00094085
                     46,                0.70952,                0.45684,                0.96913,                0.94844,                0.98094,                0.98967,                0.80742,                0.70083,                0.41582,                0.95319,             0.00092435,             0.00092435,             0.00092435
                     47,                0.71043,                0.45436,                0.96472,                0.94187,                0.96044,                 0.9733,                0.79153,                0.70981,                0.42717,                0.96633,             0.00090785,             0.00090785,             0.00090785
                     48,                0.70229,                0.44837,                 0.9699,                 0.9801,                0.95595,                0.98838,                  0.808,                0.74418,                0.41377,                0.96911,             0.00089134,             0.00089134,             0.00089134
                     49,                0.70211,                0.45113,                0.96366,                0.95291,                0.96807,                0.98282,                 0.8207,                0.69414,                 0.4109,                 0.9596,             0.00087484,             0.00087484,             0.00087484
                     50,                0.67945,                0.43436,                0.96005,                0.96311,                0.98902,                0.98971,                 0.8187,                0.68857,                0.41245,                0.95499,             0.00085834,             0.00085834,             0.00085834
                     51,                0.70227,                0.44605,                0.96449,                0.95891,                0.97618,                0.98773,                0.81298,                0.70609,                0.41064,                0.96506,             0.00084184,             0.00084184,             0.00084184
                     52,                0.67082,                 0.4268,                0.95411,                0.97764,                 0.9761,                0.99011,                0.82306,                0.69401,                 0.4154,                0.95702,             0.00082533,             0.00082533,             0.00082533
                     53,                0.67593,                0.42965,                0.95294,                0.96412,                0.98321,                0.99116,                 0.8119,                0.70383,                0.41625,                0.96775,             0.00080883,             0.00080883,             0.00080883
                     54,                0.67289,                0.42737,                0.95005,                0.95699,                0.97924,                0.99059,                0.81924,                 0.6792,                 0.4164,                0.96623,             0.00079233,             0.00079233,             0.00079233
                     55,                0.66959,                0.42632,                0.95287,                0.94478,                0.93724,                0.98324,                0.81887,                 0.6834,                0.41311,                0.94176,             0.00077582,             0.00077582,             0.00077582
                     56,                0.66168,                0.41747,                0.94646,                0.98828,                 0.9828,                0.99241,                0.83536,                0.67303,                0.41222,                0.94238,             0.00075932,             0.00075932,             0.00075932
                     57,                0.65478,                0.40835,                0.94122,                0.97109,                0.98119,                0.99063,                0.81929,                0.66563,                0.39096,                0.94762,             0.00074282,             0.00074282,             0.00074282
                     58,                0.64668,                0.40431,                0.93829,                0.98278,                0.95639,                 0.9893,                 0.8315,                0.68564,                0.40225,                0.94674,             0.00072631,             0.00072631,             0.00072631
                     59,                0.64617,                 0.4056,                0.94189,                0.97891,                0.96931,                0.98954,                 0.8335,                0.66598,                 0.3891,                0.93671,             0.00070981,             0.00070981,             0.00070981
                     60,                0.64792,                 0.4095,                0.94111,                0.96558,                0.96719,                0.98812,                0.82892,                0.66489,                0.39451,                0.94371,             0.00069331,             0.00069331,             0.00069331
                     61,                0.64923,                0.41143,                0.93974,                0.94035,                0.99708,                0.98957,                0.83827,                0.65317,                0.39102,                 0.9276,              0.0006768,              0.0006768,              0.0006768
                     62,                0.62659,                0.39586,                0.93685,                0.95757,                0.98363,                0.99079,                0.82705,                0.67252,                0.39398,                0.94637,              0.0006603,              0.0006603,              0.0006603
                     63,                0.64475,                0.40283,                0.93816,                 0.9228,                0.99708,                0.98528,                0.83175,                0.66029,                0.39383,                 0.9454,              0.0006438,              0.0006438,              0.0006438
                     64,                0.63182,                0.39323,                0.93522,                0.94588,                0.99561,                0.98975,                0.83706,                0.66913,                0.38947,                0.94209,             0.00062729,             0.00062729,             0.00062729
                     65,                0.62772,                0.39399,                0.93628,                 0.9662,                0.96995,                0.99026,                0.83516,                 0.6819,                0.39698,                0.95588,             0.00061079,             0.00061079,             0.00061079
                     66,                0.62644,                0.38973,                0.93078,                0.97754,                0.97169,                0.99094,                0.84278,                0.65139,                0.37653,                0.93884,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.6185,                0.38499,                0.93437,                0.97044,                0.98044,                0.98971,                0.83915,                0.66454,                 0.3957,                0.93814,             0.00057778,             0.00057778,             0.00057778
                     68,                0.61195,                0.38734,                0.92716,                0.98356,                0.99366,                0.99154,                0.83805,                0.64926,                0.37673,                0.94188,             0.00056128,             0.00056128,             0.00056128
                     69,                0.60608,                0.37667,                0.92354,                0.95976,                0.99354,                0.99033,                0.84755,                0.65432,                0.38329,                0.93967,             0.00054478,             0.00054478,             0.00054478
                     70,                0.60068,                0.37342,                0.92565,                0.96062,                0.99123,                0.98957,                0.83545,                0.66926,                0.38712,                0.94349,             0.00052827,             0.00052827,             0.00052827
                     71,                0.60066,                0.36925,                0.92263,                0.92951,                0.99561,                0.98629,                0.84287,                0.64982,                0.37973,                0.93521,             0.00051177,             0.00051177,             0.00051177
                     72,                0.59722,                0.36633,                  0.921,                0.97888,                0.96788,                0.98562,                0.84106,                0.65036,                 0.3744,                0.93509,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.5984,                0.36524,                0.92299,                0.98344,                0.95563,                 0.9899,                0.85224,                0.65156,                0.37197,                 0.9315,             0.00047876,             0.00047876,             0.00047876
                     74,                0.58529,                0.36361,                0.91684,                0.93103,                0.99616,                0.98748,                0.83265,                0.65691,                0.37698,                0.93666,             0.00046226,             0.00046226,             0.00046226
                     75,                0.58328,                 0.3599,                0.91884,                0.93751,                0.99439,                0.98973,                0.82892,                0.64947,                0.39241,                0.94317,             0.00044576,             0.00044576,             0.00044576
                     76,                0.58251,                0.35707,                0.91927,                 0.9802,                 0.9616,                0.98763,                0.84452,                0.65889,                0.38248,                0.94778,             0.00042925,             0.00042925,             0.00042925
                     77,                0.58204,                0.35499,                0.91596,                0.97392,                0.95099,                0.98747,                0.84827,                 0.6576,                0.38396,                 0.9382,             0.00041275,             0.00041275,             0.00041275
                     78,                0.57841,                0.35707,                0.91516,                0.97424,                  0.952,                 0.9864,                0.85569,                0.64066,                0.37132,                0.93236,             0.00039625,             0.00039625,             0.00039625
                     79,                0.57279,                 0.3531,                0.91146,                0.97292,                0.95934,                0.98807,                0.84431,                0.66149,                0.37419,                0.94004,             0.00037974,             0.00037974,             0.00037974
                     80,                0.57004,                0.34903,                0.90928,                0.97234,                0.96849,                0.98713,                0.84725,                0.64938,                0.37183,                0.94065,             0.00036324,             0.00036324,             0.00036324
                     81,                0.56565,                0.34821,                 0.9102,                  0.962,                0.97057,                0.98491,                0.84248,                0.64987,                0.36072,                0.93697,             0.00034674,             0.00034674,             0.00034674
                     82,                0.56173,                0.34218,                 0.9084,                0.95827,                0.99561,                0.99162,                0.85321,                0.64142,                 0.3598,                0.94245,             0.00033023,             0.00033023,             0.00033023
